"","ensembl_gene_id","res","Identifier"
"125","ENSG00000152804","Upregulated","NM_002729"
"126","ENSG00000128602","Upregulated","NM_005631"
"127","ENSG00000240771","Upregulated","NM_001111270"
"128","ENSG00000143554","Upregulated","NM_001317929"
"129","ENSG00000196664","Downregulated","NM_016562"
"130","ENSG00000176381","Upregulated","NM_175922"
"131","ENSG00000136842","Upregulated","NM_001166116"
"132","ENSG00000100075","Upregulated","NM_001256534"
"133","ENSG00000163882","Upregulated","NM_001278698"
"134","ENSG00000213088","Upregulated","NM_001122951"
"135","ENSG00000213398","Upregulated","NM_000229"
"136","ENSG00000185813","Upregulated","NM_001184917"
"137","ENSG00000035664","Upregulated","NM_001363730"
"138","ENSG00000148700","Downregulated","NM_001121"
"139","ENSG00000114948","Upregulated","NM_001410985"
"140","ENSG00000116260","Upregulated","NM_001004128"
"141","ENSG00000137210","Upregulated","NM_001127711"
"142","ENSG00000125743","Upregulated","NM_001369751"
"143","ENSG00000135480","Upregulated","NM_005556"
"144","ENSG00000155313","Downregulated","NM_001283041"
"145","ENSG00000170456","Downregulated","NM_001308339"
"146","ENSG00000137507","Upregulated","NM_001128922"
"147","ENSG00000124762","Upregulated","NM_000389"
"148","ENSG00000179085","Upregulated","NM_018973"
"149","ENSG00000084676","Downregulated","NM_001362950"
"150","ENSG00000164078","Upregulated","NM_001244937"
"151","ENSG00000128524","Upregulated","NM_001198909"
"152","ENSG00000136371","Upregulated","NM_001199758"
"153","ENSG00000159335","Upregulated","NM_001330333"
"154","ENSG00000265681","Upregulated","NM_000985"
"155","ENSG00000163382","Upregulated","NM_144772"
"156","ENSG00000188372","Upregulated","NM_001110354"
"157","ENSG00000082146","Upregulated","NM_001206864"
"158","ENSG00000159166","Upregulated","NM_005558"
"159","ENSG00000170579","Upregulated","NM_001003809"
"160","ENSG00000167799","Upregulated","NM_001243750"
"161","ENSG00000119632","Upregulated","NM_032036"
"162","ENSG00000182117","Upregulated","NM_018648"
"163","ENSG00000229253","Upregulated","NM_001145338"
"164","ENSG00000241837","Upregulated","NM_001697"
"165","ENSG00000171858","Upregulated","NM_001024"
"166","ENSG00000166582","Upregulated","NM_181716"
"167","ENSG00000160752","Upregulated","NM_001135821"
"168","ENSG00000100379","Upregulated","NM_001282684"
"169","ENSG00000180953","Upregulated","NM_001100879"
