"","ensembl_gene_id","res","Identifier"
"125","ENSG00000058866","Upregulated","NM_001080744"
"126","ENSG00000070501","Upregulated","NM_002690"
"127","ENSG00000108669","Upregulated","NM_001292018"
"128","ENSG00000119917","Downregulated","NM_001031683"
"129","ENSG00000136842","Upregulated","NM_001166116"
"130","ENSG00000117407","Upregulated","NM_001136215"
"131","ENSG00000072201","Upregulated","NM_001126328"
"132","ENSG00000089057","Upregulated","NM_005116"
"133","ENSG00000123609","Downregulated","NM_004688"
"134","ENSG00000236873","Upregulated","NM_001371437"
"135","ENSG00000145782","Downregulated","NM_001277783"
"136","ENSG00000162881","Upregulated","NM_148962"
"137","ENSG00000169752","Upregulated","NM_138573"
"138","ENSG00000166548","Upregulated","NM_001172643"
"139","ENSG00000217555","Upregulated","NM_001040138"
"140","ENSG00000136153","Upregulated","NM_001306080"
"141","ENSG00000062282","Upregulated","NM_001253891"
"142","ENSG00000233345","Upregulated","NM_002441"
"143","ENSG00000109189","Upregulated","NM_001134223"
"144","ENSG00000163328","Downregulated","NM_001033045"
"145","ENSG00000225830","Upregulated","NM_000124"
"146","ENSG00000133106","Downregulated","NM_001002264"
"147","ENSG00000135838","Upregulated","NM_001200050"
"148","ENSG00000080503","Upregulated","NM_001289396"
"149","ENSG00000196867","Upregulated","NM_001308440"
"150","ENSG00000146021","Upregulated","NM_001257194"
"151","ENSG00000134138","Upregulated","NM_001220482"
"152","ENSG00000143641","Downregulated","NM_001291866"
"153","ENSG00000005379","Upregulated","NM_001261835"
"154","ENSG00000109180","Downregulated","NM_001079839"
"155","ENSG00000140740","Upregulated","NM_003366"
"156","ENSG00000110696","Downregulated","NM_001142705"
"157","ENSG00000087157","Upregulated","NM_024419"
"158","ENSG00000116191","Downregulated","NM_001286247"
"159","ENSG00000146592","Upregulated","NM_001011666"
"160","ENSG00000136478","Upregulated","NM_001288732"
"161","ENSG00000169398","Upregulated","NM_001199649"
"162","ENSG00000158201","Downregulated","NM_001308256"
"163","ENSG00000160505","Upregulated","NM_134444"
"164","ENSG00000241386","Upregulated","NM_002120"
"165","ENSG00000242092","Upregulated","NM_002118"
"166","ENSG00000214575","Upregulated","NM_001079533"
"167","ENSG00000149557","Upregulated","NM_005103"
"168","ENSG00000154864","Upregulated","NM_001378183"
"169","ENSG00000141540","Upregulated","NM_001330453"
"170","ENSG00000127314","Downregulated","NM_001010942"
"171","ENSG00000071246","Upregulated","NM_014909"
"172","ENSG00000161055","Upregulated","NM_052863"
"173","ENSG00000163704","Upregulated","NM_001318871"
"174","ENSG00000006453","Upregulated","NM_018842"
"175","ENSG00000082146","Upregulated","NM_001206864"
"176","ENSG00000188313","Downregulated","NM_001363872"
"177","ENSG00000143553","Downregulated","NM_012437"
"178","ENSG00000114520","Upregulated","NM_003794"
"179","ENSG00000100385","Upregulated","NM_000878"
"180","ENSG00000276349","Upregulated","NM_001123391"
"181","ENSG00000162511","Upregulated","NM_006762"
"182","ENSG00000118200","Upregulated","NM_001297707"
"183","ENSG00000143742","Downregulated","NM_001130440"
"184","ENSG00000118242","Upregulated","NM_001372188"
"185","ENSG00000204673","Upregulated","NM_001098632"
"186","ENSG00000143061","Upregulated","NM_001007237"
"187","ENSG00000124762","Upregulated","NM_000389"
"188","ENSG00000072840","Upregulated","NM_001306090"
"189","ENSG00000136213","Downregulated","NM_001243794"
"190","ENSG00000125378","Upregulated","NM_001202"
"191","ENSG00000274669","Upregulated","NM_001081637"
"192","ENSG00000170270","Upregulated","NM_032490"
"193","ENSG00000099282","Upregulated","NM_001351263"
"194","ENSG00000126353","Upregulated","NM_001301714"
"195","ENSG00000110987","Upregulated","NM_001024808"
"196","ENSG00000163686","Upregulated","NM_001320126"
"197","ENSG00000108039","Downregulated","NM_001167604"
"198","ENSG00000278032","Downregulated","NM_001127213"
"199","ENSG00000105825","Upregulated","NM_001271003"
"200","ENSG00000006432","Upregulated","NM_001284230"
"201","ENSG00000117226","Downregulated","NM_001319179"
"202","ENSG00000139687","Downregulated","NM_000321"
"203","ENSG00000002549","Downregulated","NM_015907"
"204","ENSG00000151388","Upregulated","NM_001324511"
"205","ENSG00000130584","Upregulated","NM_001369741"
"206","ENSG00000066136","Downregulated","NM_001142587"
"207","ENSG00000137509","Downregulated","NM_001319214"
"208","ENSG00000105612","Downregulated","NM_001375"
"209","ENSG00000117228","Downregulated","NM_002053"
"210","ENSG00000140931","Upregulated","NM_001048251"
"211","ENSG00000124731","Upregulated","NM_001242589"
"212","ENSG00000152969","Upregulated","NM_001099433"
"213","ENSG00000089248","Downregulated","NM_001034025"
"214","ENSG00000166147","Upregulated","NM_000138"
"215","ENSG00000133703","Downregulated","NM_001369786"
"216","ENSG00000050438","Upregulated","NM_001039960"
"217","ENSG00000083454","Downregulated","NM_001204519"
"218","ENSG00000206478","Upregulated","NM_003897"
"219","ENSG00000173715","Downregulated","NM_001302084"
"220","ENSG00000215193","Upregulated","NM_001127649"
"221","ENSG00000144354","Downregulated","NM_031942"
"222","ENSG00000135253","Upregulated","NM_001135914"
"223","ENSG00000181690","Upregulated","NM_001114634"
"224","ENSG00000123352","Downregulated","NM_001293285"
"225","ENSG00000142599","Downregulated","NM_001042681"
"226","ENSG00000244405","Upregulated","NM_004454"
"227","ENSG00000120868","Downregulated","NM_001160"
"228","ENSG00000116990","Upregulated","NM_001033081"
"229","ENSG00000160321","Upregulated","NM_001329971"
"230","ENSG00000176871","Upregulated","NM_001278557"
"231","ENSG00000171817","Upregulated","NM_001172225"
"232","ENSG00000158748","Upregulated","NM_000871"
"233","ENSG00000115841","Upregulated","NM_001170791"
"234","ENSG00000101152","Upregulated","NM_025219"
"235","ENSG00000018189","Downregulated","NM_001037442"
"236","ENSG00000186063","Downregulated","NM_022831"
"237","ENSG00000100678","Upregulated","NM_001130417"
"238","ENSG00000187775","Upregulated","NM_003727"
"239","ENSG00000066032","Upregulated","NM_001164883"
"240","ENSG00000124380","Downregulated","NM_006857"
"241","ENSG00000061938","Downregulated","NM_001010938"
"242","ENSG00000071967","Upregulated","NM_001127383"
"243","ENSG00000174607","Downregulated","NM_001128174"
"244","ENSG00000163155","Upregulated","NM_001136543"
"245","ENSG00000087077","Upregulated","NM_003302"
"246","ENSG00000148468","Upregulated","NM_001010924"
"247","ENSG00000120539","Downregulated","NM_001172303"
"248","ENSG00000185760","Downregulated","NM_001160130"
"249","ENSG00000100629","Downregulated","NM_152446"
"250","ENSG00000178761","Upregulated","NM_001321920"
"251","ENSG00000108061","Downregulated","NM_001269039"
"252","ENSG00000168394","Downregulated","NM_000593"
"253","ENSG00000104490","Upregulated","NM_001040624"
"254","ENSG00000181264","Upregulated","NM_001198670"
"255","ENSG00000084710","Upregulated","NM_001319099"
"256","ENSG00000139263","Upregulated","NM_001136051"
"257","ENSG00000115020","Upregulated","NM_001002881"
"258","ENSG00000120265","Downregulated","NM_001252049"
"259","ENSG00000277400","Upregulated","NM_001190825"
"260","ENSG00000112812","Upregulated","NM_005865"
"261","ENSG00000115232","Downregulated","NM_000885"
"262","ENSG00000100379","Upregulated","NM_001282684"
"263","ENSG00000241132","Upregulated","NM_021221"
"264","ENSG00000130787","Downregulated","NM_001303097"
"265","ENSG00000131373","Upregulated","NM_001284413"
