"","ensembl_gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","res","SYMBOL"
"1","ENSG00000164078",3.03637610447136,-0.262577395118788,11.5016568739755,1.41789732483362e-11,1.87360952503514e-07,15.8881366743805,"Upregulated","MST1R"
"2","ENSG00000086288",5.75048720083269,-1.35926375676483,10.50417611357,9.67498213199832e-11,6.30141536260143e-07,13.7435465517324,"Upregulated","NME8"
"3","ENSG00000158458",3.91408248294201,-1.18915209583552,10.3082203598781,1.43062252821283e-10,6.30141536260143e-07,13.1333373353729,"Upregulated","NRG2"
"4","ENSG00000174600",3.83770572624267,-0.356327093539095,9.88400432571193,3.39102731700229e-10,1.12022587417171e-06,13.0587588446738,"Upregulated","CMKLR1"
"5","ENSG00000101336",4.33393008843722,1.78878328174876,9.49680578473758,7.60378433310046e-10,1.46929643184089e-06,12.6496428206905,"Upregulated","HCK"
"6","ENSG00000243156",3.07244195237022,1.04754185991056,9.48574191593346,7.78346830852597e-10,1.46929643184089e-06,12.6172366381051,"Upregulated","MICAL3"
"7","ENSG00000163207",4.28227465912785,-2.02977887119229,9.59198685700226,6.22372087046248e-10,1.46929643184089e-06,11.1796915119789,"Upregulated","IVL"
"8","ENSG00000184292",4.66207930636636,-1.45269033661764,9.1535878401697,1.58087852173425e-09,2.61121609827455e-06,11.0094390127156,"Upregulated","TACSTD2"
"9","ENSG00000108576",2.10019398082284,1.24210606254033,8.40132602783893,8.30003444817073e-09,1.21862950220142e-05,10.3226689319544,"Upregulated","SLC6A4"
"10","ENSG00000013016",3.9140155109718,-1.33556681138473,8.11154238429852,1.60396396190729e-08,1.76623164938691e-05,9.01673898540068,"Upregulated","EHD3"
"11","ENSG00000035720",-1.78319408794827,5.31214404721729,-7.74605160587039,3.74060991818667e-08,3.80218611222451e-05,8.65108821531552,"Downregulated","STAP1"
"12","ENSG00000198825",2.05884371212574,0.621815738251884,7.53659405413142,6.1252651391605e-08,4.96283036307283e-05,8.38262190052289,"Upregulated","INPP5F"
"13","ENSG00000225314",6.08443050732199,-3.59421953567512,8.17134494576622,1.39879106491584e-08,1.76623164938691e-05,8.35620338700586,"Upregulated","CDCA3P1"
"14","ENSG00000004468",-2.90215406473132,4.71692510887119,-7.53883436847674,6.09285633777646e-08,4.96283036307283e-05,8.34457604721273,"Downregulated","CD38"
"15","ENSG00000152804",3.27734473050121,0.254899121545586,7.51908207036778,6.38475224551522e-08,4.96283036307283e-05,8.32281341376778,"Upregulated","HHEX"
"16","ENSG00000115318",2.53163833219983,2.24299572064422,7.46244899517287,7.30356722509297e-08,5.07943880591466e-05,8.07798554654112,"Upregulated","LOXL3"
"17","ENSG00000274429",1.98839749511517,-0.447270954676196,7.48418894410843,6.93583938743936e-08,5.07943880591466e-05,8.03224074411087,"Upregulated","DLG5"
"18","ENSG00000183785",2.72494851416889,2.73857351653683,7.41073110058147,8.26066235741618e-08,5.45781961954487e-05,7.92719826188048,"Upregulated","TUBA8"
"19","ENSG00000162733",2.79308352208921,-1.5136590384743,7.64030707042141,4.79470771553295e-08,4.52551912521803e-05,7.89888242727385,"Upregulated","DDR2"
"20","ENSG00000108370",2.21742641058433,1.00016218260709,7.26057441198399,1.18339077843277e-07,6.51555239425445e-05,7.73429518786646,"Upregulated","RGS9"
"21","ENSG00000082074",3.89855121685824,-1.33973117646963,7.30524372835164,1.06305748625624e-07,6.38510982881364e-05,7.61593003372709,"Upregulated","FYB1"
"22","ENSG00000184905",4.42488999419303,-3.31781059688432,8.1264232648907,1.55018760786362e-08,1.76623164938691e-05,7.61148738285747,"Upregulated","TCEAL2"
